City,Population
Riverwoods,3643
Fairbury,3630
Dixmoor,3597
Red Bud,3586
Forsyth,3584
Le Roy,3582
Oregon,3580
Aledo,3564
Germantown Hills,3508
Johnston City,3500
Tolono,3479
Riverton,3462
Gibson City,3409
Virden,3407
Fulton,3369
Georgetown city,3363
Sleepy Hollow,3346
New Baden,3313
Galena,3299
South Jacksonville,3261
Carlyle,3224
Momence,3213
Pistakee Highlands,3212
East Dundee,3200
Sumner,3183
Abingdon,3182
Gillespie,3176
Nashville,3132
Westville,3105
Cherry Valley,3098
Havana,3076
Ingalls Park,3047
North Barrington,3022
Winnebago,3012
Scott AFB,2982
Bushnell,2976
Rushville,2972
Lake of the Woods,2941
Holiday Shores,2913
Preston Heights,2907
Heyworth,2890
Arcola,2884
Savanna,2880
Mount Morris,2877
Hamilton,2853
Knoxville,2836
Newton,2814
Lena,2800
El Paso,2798
McLeansboro,2792
Christopher,2779
Ford Heights,2773
Sheridan,2743
Marquette Heights,2742
Round Lake Heights,2718
Pawnee,2713
Casey and Venetian Village,2709
Trenton,2667
Tilton,2626
Kenilworth,2555
Carthage,2545
Galva,2517
Fairmont City,2502
Villa Grove,2495
Thornton,2492
Diamond,2488
Cairo,2467
Wayne,2444
Carrollton,2429
White Hall,2410
Ina,2360
Amboy,2356
Farmington,2328
Henry,2327
Fairmont,2322
Altamont,2308
Seneca,2292
Arthur,2288
Davis Junction,2270
Lewistown,2261
Elwood,2258
Polo,2253
Brighton,2198
Fox Lake Hills and Petersburg,2190
Nokomis,2185
Mason City,2180
Tremont,2175
Oakbrook Terrace,2164
Pecatonica,2124
Crystal Lawns,2122
Cambridge,2113
Elmwood,2089
Aviston,2084
Roanoke,2073
Oakwood Hills,2063
Lexington,2059
Hinckley,2058
Minonk,2053
Willowbrook CDP,2044
Carbon Cliff,2037
Girard,2027
Mount Olive,2013
Prophetstown,2012
Catlin,2007
Farmer City,2004
Lake Summerset,1999
South Roxana,1997
Steeleville,1993
Lake Camelot,1986
Mount Sterling,1968
Fisher,1959
Phoenix,1958
Bellevue,1954
New Athens,1951
Rockdale,1948
Athens,1938
Alorton,1933
Albion,1932
Mackinaw,1923
Venice,1915
Sesser,1906
Richmond,1900
Merrionette Park,1886
Somonauk,1877
Prairie Grove,1869
Hodgkins,1868
Marissa,1856
Hudson,1846
Hampton,1840
Rome,1831
Lacon,1826
Orion,1825
Bridgeport and Stockton,1792
Twin Grove,1789
Jonesboro,1768
Zeigler,1765
Chenoa,1763
Gilman,1754
Moweaqua,1751
De Pue,1743
Maroa,1739
Kirkland,1734
Roodhouse,1730
Princeville,1726
Forest Lake,1719
Bunker Hill,1716
Lake Catherine,1712
Bement,1683
East Dubuque,1658
Jerome,1651
Port Byron,1649
Atlanta,1648
Vienna,1647
Southern View,1635
Delavan,1633
Earlville,1632
Grayville,1626
Carrier Mills,1625
Mount Carroll,1620
Knollwood and Neoga,1613
Teutopolis,1586
Prestbury,1580
De Soto,1575
Bannockburn,1571
North Pekin,1569
Limestone,1563
Herscher,1554
Erie,1553
Warsaw,1551
East Hazel Crest,1545
Oakwood,1532
Manito,1527
Leland Grove,1523
Virginia,1516
Mount Pulaski,1515
Winchester,1513
Channel Lake,1505
Port Barrington,1504
Williamsville,1496
Greenup,1495
Waterman,1494
Benld,1488
Roxana,1483
Philo,1464
Gridley,1439
Kincaid,1437
Gardner,1434
Grandview and Oblong,1427
Dunlap,1417
Clifton,1410
Durand,1409
St. Elmo,1406
Okawville,1399
Lakewood Shores,1385
Hartford,1382
Crainville,1381
Forreston,1377
Warren and Wyoming,1376
Lanark,1373
Heritage Lake,1354
Cerro Gordo,1353
New Berlin and Walnut,1350
Capron,1348
North Utica,1346
Colchester,1337
Harristown,1332
Palestine,1331
Toluca,1330
Bethany,1322
Onarga,1321
Granville,1318
Oquawka,1314
Maple Park,1308
Long Creek,1302
Grant Park,1289
Germantown,1285
Rossville,1282
Hillcrest,1280
Barry,1274
Chrisman,1272
Waverly,1268
Cambria,1265
Valmeyer,1259
Ashland,1256
Tower Lakes,1255
Toulon,1248
Norris City,1247
Milford,1242
Ladd,1241
Hanna City and Sidney,1232
Sandoval,1230
Minier,1224
Cuba,1222
St. Anne and Toledo,1221
Hebron,1202
Homer,1198
La Harpe,1197
Atwood,1191
Third Lake,1189
Andalusia,1182
